ID	Title	Brand	MPN	UPC	link	Price	Availability	Description	Image_link	custom_label_0	Condition
53	iPhone 5S LCD Digitizer Touch Screen - White, Original	For Apple	AAPL-i5S-102		https://www.phonepartworld.com/iPhone-5S-LCD-Digitizer-Touch-Screen-Assembly	79.99	In Stock	Have you accidentally dropped your iPhone and realized that its screen has been broken? We all know how it feels, but don't worry. This screen assembly for iPhone 5S includes both the touch screen and LCD screen. If your iPhone 5S has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your iPhone 5S may have! (Not compatible with iPhone 5 or 5C) Features: iPhone 5S Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Display Type: LED-backlit IPS LCD, Capacitive Touchscreen, 16M colors Resolution: 1136 x 640 pixels, 326 ppi pixel density High Quality OEM LCD Screen Replacement Part Protective Material: Oleophobic Coating Frame and LCD Preattached Screen Size: 4.0 inches Color: White Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPhone%205S/1-Apple-iPhone-5S-LCD-Digitizer-Assembly-White.jpg	APPLE > iPhone > iPhone 5S	New
56	iPhone 5C LCD Digitizer Touch Screen (Black) 	For Apple	AAPL-i5C-101		https://www.phonepartworld.com/iPhone-5C-LCD-Digitizer-Touch-Screen-Assembly-Black	65.99	Out of Stock	If your iPhone 5C has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both the LCD and digitizer touch screen glass, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your iPhone 5C may have! Our high quality OEM iPhone 5C LCD screens go through a rigorous testing and selection process so that you can rest assured that the replacement screen you receive carries the same quality and craftsmanship that was put into your device when you first bought it. Features: iPhone 5C Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Display Type: LED-backlit IPS LCD, Capacitive Touchscreen, 16M colors Resolution: 1136 x 640 pixels, 326 ppi pixel density High Quality OEM LCD Screen Replacement Part (Not compatible with iPhone 5 or 5S) Frame and LCD Preattached Screen Size: 4.0 inches Color: Black Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/5C/apple-iphone-5c-lcd-touch-screen-digitizer-replacement-Front.jpg	APPLE > iPhone > iPhone 5C	New
66	iPhone 5 LCD Digitizer Touch Screen - White	For Apple	AAPL-i5-102		https://www.phonepartworld.com/iPhone-5-LCD-Digitizer-Touch-Screen-Assembly-White-Original	69.99	In Stock	Have you accidentally dropped your iPhone and realized that its screen has been broken? We all know how it feels, but Don't Worry. This screen assembly for iPhone 5 includes both the touch screen and LCD screen. If your iPhone 5 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your iPhone 5 may have! Our OEM iPhone 5 LCD screens go through a rigorous testing and selection process so that you can rest assured that the replacement screen you receive carries the same quality and craftsmanship that was put into your device when you first bought it. Features: iPhone 5 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Display Type: LED-backlit IPS LCD, capacitive touchscreen, 16M colors OEM LCD Screen Replacement Part Resolution: 1136 x 640 pixels Frame and LCD Preattached Screen Size: 4.0 inches Connector Type: Buckle Color: White  Eligible For:  Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPhone%205/Apple-iphone-5-lcd-Replacement-TouchScreen-Digitizer-white-Original-Front.jpg	APPLE	New
183	iPad Mini LCD Screen	For Apple	AAPL-iPAm-105		https://www.phonepartworld.com/Apple-iPad-Mini-LCD-Screen-Replacement	64.99	In Stock	 Say Goodbye To That Damaged Screen! Have you accidentally dropped your iPad Mini and are experiencing problems such as blurry pixel lines or inky spots? We all know how it can interrupt your workflow, but that's alright! This LCD screen replacement for iPad Mini is what you need. If your iPad screen has been damaged for any reason, this is the replacement LCD screen for you! This brand new Retina display allows you to repair damages like broken LCD displays, discoloration, dead pixels, black or white screens and much more! Use this brand new replacement screen to resolve nearly any display or cosmetic issues your iPad Mini may have and make it look and work like brand new! Features: Size: 7.9 inches Screen Type: LED-backlit IPS LCD Resolution: 1024 x 768 Pixels Connector Type: Clip Original OEM iPad Mini LCD Screen Replacement Part Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPad%20Mini/apple-ipad-mini-lcd-screen-replacement.jpg	APPLE	New
191	iPhone 3 & 4 Earphone with Mic. & Volume Control (Original)	APPLE	AAPL-ACCS-105		https://www.phonepartworld.com/apple-iphone4-replacemenet-earphone	9.99	Out of Stock	Did you lose you iPhone's earphone or has it been damaged? Or maybe do you need a second one? in either situation, this is the replacement iPhone headphone with all the featuers that come with the original iPhone headphone. Color: White  Compatible with : iPhone iPad iPod 	https://www.phonepartworld.com/image/data/Products/Accessories/apple-iphone-3g-4-4s-headphones-with-remote-volume-control-.jpg	Accessories > Speakers &amp; Headphones	New
194	iPhone iPad Lightning to USB Cable (Original)	APPLE	AAPL-ACCS-108		https://www.phonepartworld.com/apple-iphone5-usb-lightning-data-vable	11.36	In Stock	Did you lose you iPhone 5 or iPad's USB lightning cable or has it been damaged? Or do you need a second one? In either situation, this is the replacement iPhone USB Lightning cable with all the featuers that come with the original iPhone USB lightning cable. Features: Color: White Length: 1m Compatible with : 	https://www.phonepartworld.com/image/data/Products/Accessories/aaple-iphone-5-usb-data-cable-.jpg	Accessories > Cables &amp; Docks	New
202	iPhone 4S Back Cover (Black)	APPLE	AAPL-i4S-103		https://www.phonepartworld.com/iPhone-4S-Back-Cover-Black	14.99	In Stock	Have you accidentally dropped and damaged your iPhone 4S back cover? Well, good news. Using this replacement part, which is very easy to install, you can change your cracked iPhone 4S back cover and make it look like brand new. Do it yourself and save your self the cost of buying a new phone or having someone else doing this repair for you. This iPhone 4S OEM back cover includes the lens ring and LED diffuser pre-installed. Features: High Quality iPhone 4S OEM Back Cover Back Glass Includes Chrome Lens Ring and LED Flash Diffuser Color: Black Compatibility : 	https://www.phonepartworld.com/image/data/Products/iPhone%204S/Apple-iPhone-4s-Back-Cover-Black.jpg	APPLE	New
203	iPhone 4S Back Cover (White)	APPLE	AAPL-i4S-104		https://www.phonepartworld.com/iPhone-4S-Back-Cover-White	14.99	In Stock	Have you accidentally dropped and damaged your iPhone 4S back cover? Well, good news. Using this replacement part, which is very easy to install, you can change your cracked iPhone 4S back cover and make it look like brand new. Do it yourself and save yourself the cost of buying a new phone or having someone else doing this repair for you. This iPhone 4S OEM back cover includes the lens ring and LED diffuser pre-installed. Features: High Quality iPhone 4S OEM Back Cover Back Glass Includes Chrome Lens Ring and LED Flash Diffuser Color: White Compatibility : 	https://www.phonepartworld.com/image/data/Products/iPhone%204S/Apple-iPhone-4-Back-Cover-White.jpg	APPLE	New
230	iPhone 4 Back Cover (Black)	For Apple	AAPL-i4-103		https://www.phonepartworld.com/iPhone-4-Back-Cover-Black	6.73	In Stock	Have you accidentally dropped and damaged your iPhone 4 back cover? Well, good news. Using this replacement part, which is very easy to install, you can change your cracked iPhone 4 back cover and make it look like brand new. Do it yourself and save your self the cost of buying a new phone or having someone else doing this repair for you. This iPhone 4 OEM back cover includes the lens ring and LED diffuser pre-installed. Features: High Quality iPhone 4 OEM Back Cover Back Glass Includes Chrome Lens Ring and LED Flash Diffuser  Wireless Career: Select CDMA or GSM based on your wireless carrier.  Color: Black  Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPhone%204S/Apple-iPhone-4s-Back-Cover-Black.jpg	APPLE	New
239	iPhone 4 LCD Digitizer Touch Screen - (Black,CDMA/GSM)	For Apple	AAPL-i4-101		https://www.phonepartworld.com/iPhone-4-LCD-Digitizer-Touch-Screen-Black-OEM	31.5	In Stock	Have you accidentally dropped your iPhone 4 and realized that your screen has been broken? We all know how it feels, but don't worry. This screen assembly for iPhone 4 includes both the touch screen and LCD screen. If your iPhone 4 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your iPhone 4 may have! Features: iPhone 4 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled High Quality OEM LCD Screen Replacement Part Resolution: 960 * 640 pixels 16 Million Colors Display Type: IPS LCD capacitive touchscreen Frame and LCD Preattached Screen Size: 3.5 inches Connector: clip Color: Black Eligible For:  Wireless Carrier: Select CDMA or GSM based on your wireless carrier * Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPhone%204/1-Apple-iPhone-4-LCD-Digitizer-Assembly-Replacement-Black.jpg	APPLE	New
